ProductID,Exchange,PriceTick,VolumeMultiply,CommissionRateInVolumeForOpen,CommissionRateInMoneyForOpen,CommissionRateInVolumeForClose,CommissionRateInMoneyForClose,CommissionRateInVolumeForCloseToday,CommissionRateInMoneyForCloseToday
y2305,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
y2303,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
y2301,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
y,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
v2312,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
v2311,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
v2310,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
v2309,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
v2308,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
v2307,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
v2306,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
v2305,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
v2304,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
v2303,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
v2302,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
v2301,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
v,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
rr2312,DCE,1.0,10,0.675742574257,1e-07,0.675742574257,1e-07,0.675742574257,1e-07
rr2311,DCE,1.0,10,0.675742574257,1e-07,0.675742574257,1e-07,0.675742574257,1e-07
rr2310,DCE,1.0,10,0.675742574257,1e-07,0.675742574257,1e-07,0.675742574257,1e-07
rr2309,DCE,1.0,10,0.675742574257,1e-07,0.675742574257,1e-07,0.675742574257,1e-07
rr2308,DCE,1.0,10,0.675742574257,1e-07,0.675742574257,1e-07,0.675742574257,1e-07
rr2307,DCE,1.0,10,0.675742574257,1e-07,0.675742574257,1e-07,0.675742574257,1e-07
rr2306,DCE,1.0,10,0.675742574257,1e-07,0.675742574257,1e-07,0.675742574257,1e-07
rr2305,DCE,1.0,10,0.675742574257,1e-07,0.675742574257,1e-07,0.675742574257,1e-07
rr2304,DCE,1.0,10,0.675742574257,1e-07,0.675742574257,1e-07,0.675742574257,1e-07
rr2303,DCE,1.0,10,0.675742574257,1e-07,0.675742574257,1e-07,0.675742574257,1e-07
rr2302,DCE,1.0,10,0.675742574257,1e-07,0.675742574257,1e-07,0.675742574257,1e-07
rr2301,DCE,1.0,10,0.675742574257,1e-07,0.675742574257,1e-07,0.675742574257,1e-07
rr,DCE,1.0,10,0.675742574257,1e-07,0.675742574257,1e-07,0.675742574257,1e-07
pp2312,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
pp2311,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
pp2310,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
pp2309,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
pp2308,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
pp2307,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
pp2306,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
pp2305,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
pp2304,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
pp2303,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
pp2302,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
pp2301,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
pp,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
pg2311,DCE,1.0,20,1.73712871287,1e-07,1.73712871287,1e-07,1.73712871287,1e-07
pg2310,DCE,1.0,20,1.73712871287,1e-07,1.73712871287,1e-07,1.73712871287,1e-07
pg2309,DCE,1.0,20,1.73712871287,1e-07,1.73712871287,1e-07,1.73712871287,1e-07
pg2308,DCE,1.0,20,1.73712871287,1e-07,1.73712871287,1e-07,1.73712871287,1e-07
pg2307,DCE,1.0,20,1.73712871287,1e-07,1.73712871287,1e-07,1.73712871287,1e-07
pg2306,DCE,1.0,20,1.73712871287,1e-07,1.73712871287,1e-07,1.73712871287,1e-07
pg2305,DCE,1.0,20,1.73712871287,1e-07,1.73712871287,1e-07,1.73712871287,1e-07
pg2304,DCE,1.0,20,1.73712871287,1e-07,1.73712871287,1e-07,1.73712871287,1e-07
pg2303,DCE,1.0,20,1.73712871287,1e-07,1.73712871287,1e-07,1.73712871287,1e-07
pg2302,DCE,1.0,20,1.73712871287,1e-07,1.73712871287,1e-07,1.73712871287,1e-07
pg2301,DCE,1.0,20,1.73712871287,1e-07,1.73712871287,1e-07,1.73712871287,1e-07
pg2212,DCE,1.0,20,1.73712871287,1e-07,1.73712871287,1e-07,1.73712871287,1e-07
pg,DCE,1.0,20,1.73712871287,1e-07,1.73712871287,1e-07,1.73712871287,1e-07
p2312,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
p2311,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
p2310,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
p2309,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
p2308,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
p2307,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
p2306,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
p2305,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
p2304,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
p2303,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
p2302,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
p2301,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
p,DCE,2.0,10,1.64108910891,1e-07,1.64108910891,1e-07,1.64108910891,1e-07
m2312,DCE,1.0,10,1.27376237624,1e-07,1.27376237624,1e-07,1.27376237624,1e-07
m2311,DCE,1.0,10,1.27376237624,1e-07,1.27376237624,1e-07,1.27376237624,1e-07
m2309,DCE,1.0,10,1.27376237624,1e-07,1.27376237624,1e-07,1.27376237624,1e-07
m2308,DCE,1.0,10,1.27376237624,1e-07,1.27376237624,1e-07,1.27376237624,1e-07
m2307,DCE,1.0,10,1.27376237624,1e-07,1.27376237624,1e-07,1.27376237624,1e-07
m2305,DCE,1.0,10,1.27376237624,1e-07,1.27376237624,1e-07,1.27376237624,1e-07
m2303,DCE,1.0,10,1.27376237624,1e-07,1.27376237624,1e-07,1.27376237624,1e-07
m2301,DCE,1.0,10,1.27376237624,1e-07,1.27376237624,1e-07,1.27376237624,1e-07
m,DCE,1.0,10,1.27376237624,1e-07,1.27376237624,1e-07,1.27376237624,1e-07
lh2311,DCE,5.0,16,0.05,0.0002001,0.05,0.0002001,0.05,0.0002001
lh2309,DCE,5.0,16,0.05,0.0002001,0.05,0.0002001,0.05,0.0002001
lh2307,DCE,5.0,16,0.05,0.0002001,0.05,0.0002001,0.05,0.0002001
lh2305,DCE,5.0,16,0.05,0.0002001,0.05,0.0002001,0.05,0.0002001
lh2303,DCE,5.0,16,0.05,0.0002001,0.05,0.0002001,0.05,0.0002001
lh2301,DCE,5.0,16,0.05,0.0002001,0.05,0.0002001,0.05,0.0002001
lh,DCE,5.0,16,0.05,0.0002001,0.05,0.0002001,0.05,0.0002001
l2312,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
l2311,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
l2310,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
l2309,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
l2308,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
l2307,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
l2306,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
l2305,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
l2304,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
l2303,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
l2302,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
l2301,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
l,DCE,1.0,5,0.301485148515,1e-07,0.301485148515,1e-07,0.301485148515,1e-07
jm2312,DCE,0.5,60,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
jm2311,DCE,0.5,60,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
jm2310,DCE,0.5,60,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
jm2309,DCE,0.5,60,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
jm2308,DCE,0.5,60,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
jm2307,DCE,0.5,60,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
jm2306,DCE,0.5,60,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
jm2305,DCE,0.5,60,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
jm2304,DCE,0.5,60,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
jm2303,DCE,0.5,60,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
jm2302,DCE,0.5,60,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
jm2301,DCE,0.5,60,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
jm,DCE,0.5,60,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
jd2311,DCE,1.0,10,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05
jd2310,DCE,1.0,10,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05
jd2309,DCE,1.0,10,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05
jd2308,DCE,1.0,10,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05
jd2307,DCE,1.0,10,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05
jd2306,DCE,1.0,10,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05
jd2305,DCE,1.0,10,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05
jd2304,DCE,1.0,10,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05
jd2303,DCE,1.0,10,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05
jd2302,DCE,1.0,10,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05
jd2301,DCE,1.0,10,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05
jd2212,DCE,1.0,10,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05
jd,DCE,1.0,10,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05,0.0321782178218,9.66346534653e-05
j2312,DCE,0.5,100,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
j2311,DCE,0.5,100,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
j2310,DCE,0.5,100,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
j2309,DCE,0.5,100,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
j2308,DCE,0.5,100,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
j2307,DCE,0.5,100,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
j2306,DCE,0.5,100,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
j2305,DCE,0.5,100,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
j2304,DCE,0.5,100,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
j2303,DCE,0.5,100,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
j2302,DCE,0.5,100,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
j2301,DCE,0.5,100,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
j,DCE,0.5,100,0.05,0.0001001,0.05,0.0001001,0.05,0.0001001
i2312,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2311,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2310,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2309,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2308,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2307,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2306,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2305,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2304,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2303,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2302,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2301,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2312,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2311,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2310,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2309,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2308,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2307,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2306,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2305,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2304,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2303,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2302,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2301,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
eg2311,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2310,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2309,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2308,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2307,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2306,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2305,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2304,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2303,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2302,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2301,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2212,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eb2311,DCE,1.0,5,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eb2310,DCE,1.0,5,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eb2309,DCE,1.0,5,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eb2308,DCE,1.0,5,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eb2307,DCE,1.0,5,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eb2306,DCE,1.0,5,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eb2305,DCE,1.0,5,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eb2304,DCE,1.0,5,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eb2303,DCE,1.0,5,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eb2302,DCE,1.0,5,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eb2301,DCE,1.0,5,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eb2212,DCE,1.0,5,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eb,DCE,1.0,5,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
cs2311,DCE,1.0,10,0.997524752475,1e-07,0.997524752475,1e-07,0.997524752475,1e-07
cs2309,DCE,1.0,10,0.997524752475,1e-07,0.997524752475,1e-07,0.997524752475,1e-07
cs2307,DCE,1.0,10,0.997524752475,1e-07,0.997524752475,1e-07,0.997524752475,1e-07
cs2305,DCE,1.0,10,0.997524752475,1e-07,0.997524752475,1e-07,0.997524752475,1e-07
cs2303,DCE,1.0,10,0.997524752475,1e-07,0.997524752475,1e-07,0.997524752475,1e-07
cs2301,DCE,1.0,10,0.997524752475,1e-07,0.997524752475,1e-07,0.997524752475,1e-07
cs,DCE,1.0,10,0.997524752475,1e-07,0.997524752475,1e-07,0.997524752475,1e-07
c2311,DCE,1.0,10,1.25,1e-07,1.25,1e-07,1.25,1e-07
c2309,DCE,1.0,10,1.25,1e-07,1.25,1e-07,1.25,1e-07
c2307,DCE,1.0,10,1.25,1e-07,1.25,1e-07,1.25,1e-07
c2305,DCE,1.0,10,1.25,1e-07,1.25,1e-07,1.25,1e-07
c2303,DCE,1.0,10,1.25,1e-07,1.25,1e-07,1.25,1e-07
